AREA,INT_SQFT,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,SALE_COND,PARK_FACIL,BUILDTYPE,UTILITY_AVAIL,STREET,MZZONE,QS_ROOMS,QS_BATHROOM,QS_BEDROOM,QS_OVERALL,REG_FEE,COMMIS,SALES_PRICE,Age_of_building
4,1004,131,1.0,1.0,3,0,1,0,0,2,0,4.0,3.9,4.9,4.33,380000,144400,7600000,58
1,1986,26,2.0,1.0,5,0,0,0,0,0,3,4.9,4.2,2.5,3.765,760122,304049,21717770,30
0,909,70,1.0,1.0,3,0,1,0,1,0,4,4.1,3.8,2.2,3.09,421094,92114,13159200,33
6,1855,14,3.0,2.0,5,2,0,2,2,2,2,4.7,3.9,3.6,4.01,356321,77042,9630290,37
4,1226,84,1.0,1.0,3,0,1,2,0,0,1,3.0,2.5,4.1,3.29,237000,74063,7406250,46
2,1220,36,2.0,1.0,4,4,0,0,2,1,3,4.5,2.6,3.1,3.32,409027,198316,12394750,16
2,1167,137,1.0,1.0,3,4,0,2,0,1,4,3.6,2.1,2.5,2.67,263152,33955,8488790,46
6,1847,176,3.0,2.0,5,2,0,0,0,0,5,2.4,4.5,2.1,3.26,604809,235204,16800250,29
2,771,175,1.0,1.0,2,1,0,2,2,2,5,2.9,3.7,4.0,3.55,257578,33236,8308970,48
6,1635,74,2.0,1.0,4,0,0,2,1,1,2,3.1,3.1,3.3,3.16,323346,121255,8083650,34
2,1203,78,2.0,1.0,4,1,1,0,0,1,5,4.0,3.2,4.5,3.83,403326,119504,14938000,47
2,1054,143,1.0,1.0,3,4,0,2,2,0,5,2.2,3.1,3.3,2.89,245693,141746,9449730,53
2,1196,137,1.0,1.0,3,2,0,2,2,1,4,2.1,2.5,2.1,2.26,289554,35097,8774370,34
0,1056,83,1.0,1.0,3,4,1,2,2,2,3,2.2,3.4,3.7,3.19,319141,37546,9386490,44
6,1865,157,3.0,2.0,5,2,0,0,2,2,5,4.8,2.2,4.9,3.66,619987,294494,15499680,69
6,1868,148,3.0,2.0,5,2,0,0,2,0,3,3.8,3.8,3.1,3.5666666666666664,597135,188569,15714080,25
4,1639,175,2.0,2.0,4,3,1,1,1,0,2,2.3,3.2,4.8,3.57,285648,77904,8656000,34
2,796,134,1.0,1.0,2,1,1,0,0,1,4,3.5,4.6,4.7,4.3,316464,130951,10912550,50
0,1136,69,1.0,1.0,3,3,1,2,0,2,0,4.6,2.6,2.9,3.35,323214,49725,8287550,47
1,1902,168,2.0,1.0,5,2,1,0,1,2,4,4.5,4.9,4.9,4.76,742113,212032,21203240,55
2,1069,53,1.0,1.0,3,0,1,2,2,2,5,2.8,2.7,4.9,3.39,283544,43622,10905530,16
2,931,96,1.0,1.0,3,0,1,2,1,2,4,4.2,3.1,3.1,3.43,248021,27558,9185970,39
3,2010,114,3.0,2.0,5,4,0,2,2,0,3,3.4,4.5,3.4,3.73,327762,262210,10925400,26
2,1074,100,1.0,1.0,3,0,0,2,2,0,4,3.0,3.4,4.9,3.73,288821,86646,9627380,31
5,1972,111,2.0,1.0,5,1,0,2,2,1,3,4.1,4.4,2.8,3.59,487297,167073,13922760,17
5,1685,105,1.0,1.0,4,2,0,1,2,0,5,2.8,4.4,4.0,3.74,352830,176415,12601080,45
0,1130,29,1.0,1.0,3,2,1,0,1,2,3,2.3,2.5,2.2,2.29,468417,53533,13383350,44
4,1301,59,1.0,1.0,3,3,1,2,2,0,1,2.8,2.7,3.8,3.17,357283,71457,7939625,22
0,730,185,1.0,1.0,2,1,1,1,1,0,4,2.7,4.6,4.9,4.18,265449,53090,8848285,53
5,1806,138,2.0,1.0,5,2,0,1,2,2,3,4.1,5.0,3.0,3.83,430852,113382,11338200,47
1,1981,173,2.0,1.0,5,1,0,1,1,1,4,2.0,3.1,3.2,2.755,373300,218831,12872430,25
0,868,15,1.0,1.0,3,3,0,2,2,0,4,2.3,2.1,2.0,2.11,325514,72336,9042050,24
5,1721,117,1.0,1.0,4,1,1,2,1,2,5,2.0,2.8,2.9,2.605,416483,223116,14874380,33
6,1755,16,2.0,1.0,4,1,1,2,0,0,0,4.8,4.5,4.5,4.58,306671,173780,10222380,38
1,1709,130,1.0,1.0,4,2,0,2,2,0,3,4.8,3.2,4.3,4.2,452501,90500,12928590,22
3,2114,46,3.0,2.0,5,1,1,0,2,0,3,2.7,3.0,3.9,3.27,632334,281037,17564820,36
4,1226,180,1.0,1.0,3,3,0,1,0,2,0,4.0,3.7,4.7,4.19,154109,114339,4971250,42
6,1648,111,2.0,1.0,4,2,1,2,2,2,1,4.3,2.9,2.0,2.98,275120,82536,9170660,27
2,856,36,1.0,1.0,3,1,1,2,2,0,5,2.1,3.6,3.5,3.12,332269,103834,10383420,40
0,904,52,1.0,1.0,3,1,0,0,1,1,5,3.8,3.2,2.6,3.08,348042,23203,11601400,56
2,1198,105,1.0,1.0,3,3,0,2,0,1,3,3.9,3.4,4.4,3.85,255727,98991,8249260,49
4,931,16,1.0,1.0,3,1,0,0,0,2,0,4.0,4.2,2.4,3.42,291669,166668,6944500,32
4,1290,86,1.0,1.0,3,1,1,1,0,2,3,3.1,2.1,4.1,3.2,364015,92940,7745000,64
4,507,49,1.0,1.0,2,0,1,1,1,0,3,2.6,4.6,4.6,4.0,252032,74464,5728000,61
3,2492,113,4.0,2.0,6,0,0,0,2,2,4,4.3,4.6,3.8,4.19,917550,224706,18725520,32
4,851,105,1.0,1.0,2,4,0,1,0,1,1,4.0,3.8,2.5,3.34,167896,39295,3572250,43
5,1882,189,2.0,1.0,5,0,1,2,1,0,5,3.9,4.5,4.7,4.366666666666667,433393,272877,16051580,40
1,1710,15,1.0,1.0,4,3,1,0,0,0,3,2.7,4.0,2.2,2.825,808639,161728,20215970,27
4,1412,28,2.0,2.0,4,1,0,1,1,0,4,4.1,2.9,3.1,3.34,251370,192717,8379000,43
0,779,51,1.0,1.0,2,3,0,1,2,1,1,3.6,4.4,2.4,3.16,190463,31744,5290635,28
5,1655,19,1.0,1.0,4,0,0,2,0,0,3,2.1,4.3,3.9,3.46,376468,238430,12548930,45
4,940,167,1.0,1.0,3,1,0,1,0,2,3,2.7,2.7,4.1,3.26,263599,64435,5857750,64
3,1667,126,2.0,1.0,4,4,1,1,2,2,5,4.8,2.1,5.0,4.07,364810,268243,10729700,18
3,1926,49,3.0,2.0,5,2,1,0,2,2,5,3.1,2.9,4.7,3.68,816325,153061,17006780,26
0,718,75,1.0,1.0,2,4,1,2,1,1,1,2.0,3.9,3.4,3.08,211662,55701,5570050,48
4,545,154,1.0,1.0,2,4,0,2,1,1,3,3.1,2.2,3.4,2.95,165738,88651,3854375,43
4,1249,25,1.0,1.0,3,1,1,2,1,0,3,2.8,3.7,3.5,3.35,318010,120328,8594875,52
5,1894,187,2.0,1.0,5,4,1,1,2,0,4,2.0,3.7,4.4,3.505,406478,162591,13549250,57
4,1469,200,2.0,2.0,4,0,0,0,2,1,1,4.7,2.0,2.4,2.97,284423,132731,9480750,19
0,916,32,1.0,1.0,3,3,1,1,1,1,0,3.6,3.0,3.9,3.63,228053,23390,5847520,45
2,934,11,1.0,1.0,3,1,1,1,2,2,5,3.4,4.0,3.8,3.76,310749,58265,9710900,39
4,1691,100,2.0,2.0,4,0,0,1,2,0,5,4.0,3.9,3.5,3.77,319558,178576,9398750,45
4,1236,36,1.0,1.0,3,3,0,0,2,2,2,3.3,3.3,2.0,2.78,334638,114481,8806250,53
5,1577,23,1.0,1.0,4,4,1,2,2,2,3,3.8,4.7,3.9,4.07,302183,193397,12087330,54
1,1915,13,2.0,1.0,5,4,1,2,2,0,3,4.6,2.3,4.5,3.985,354391,170107,14175620,55
1,1600,154,1.0,1.0,4,2,1,1,1,0,3,3.9,2.7,2.5,3.04,309941,166891,11920820,34
6,1579,58,2.0,1.0,4,0,1,0,1,2,2,4.6,2.3,2.3,2.88,467766,240565,13364730,38
0,1260,89,2.0,2.0,4,4,0,2,2,1,0,3.8,4.1,4.5,4.21,256150,34615,6922975,42
0,1021,176,1.0,1.0,3,3,0,0,2,2,2,3.5,4.8,2.5,3.26,361868,175098,11673175,21
3,2174,48,3.0,2.0,5,2,1,2,0,2,5,2.9,2.1,2.3,2.42,548929,313674,13069740,37
0,668,177,1.0,1.0,2,0,1,0,2,0,2,4.9,2.9,3.5,3.8,329074,102836,10283575,20
6,1724,116,2.0,1.0,4,0,1,1,1,1,4,3.8,2.2,2.0,2.54,358259,152260,8956480,73
0,890,116,1.0,1.0,3,0,1,1,2,2,1,2.5,4.7,5.0,4.19,251557,43124,7187350,44
0,1218,51,2.0,2.0,4,3,0,0,0,1,2,4.7,3.9,3.3,3.84,377246,138323,12574850,48
1,1792,41,1.0,1.0,4,2,1,1,1,0,5,2.7,2.6,2.0,2.395,514532,250313,13906270,35
4,1378,192,2.0,2.0,4,1,0,2,2,0,5,4.2,2.8,2.6,3.14,297525,208268,9917500,22
4,898,72,1.0,1.0,3,4,1,0,2,2,3,2.4,3.1,2.1,2.49,345190,215744,8629750,45
1,1928,148,2.0,1.0,5,4,0,1,0,1,3,3.4,4.1,2.4,3.175,466682,105003,11667050,24
2,1233,24,2.0,1.0,4,0,0,1,2,0,5,2.2,2.0,4.6,2.84,245429,107989,9817150,50
6,1618,100,2.0,1.0,4,1,1,2,2,2,1,4.0,4.3,4.1,4.17,370522,92631,9263050,58
4,627,49,1.0,1.0,2,2,0,1,2,0,5,4.3,2.8,2.5,3.13,223975,92225,6587500,42
6,1563,43,2.0,1.0,4,2,0,1,2,0,5,4.7,4.5,2.6,3.98,303780,195987,9799360,48
4,1693,187,2.0,2.0,4,3,1,0,2,0,1,3.9,2.1,3.9,3.36,384045,166420,12801500,22
5,1522,85,1.0,1.0,4,4,0,0,0,0,4,4.2,3.6,3.5,3.735,506181,174545,17454510,59
0,1090,171,1.0,1.0,3,4,1,2,2,0,3,3.1,2.7,2.3,2.62,373632,98324,9832420,45
2,1085,149,1.0,1.0,3,0,1,0,2,0,4,2.8,3.8,4.6,3.733333333333333,387815,100545,14363500,17
5,1687,73,1.0,1.0,4,0,0,2,2,2,3,4.6,4.6,2.0,3.43,411733,224582,12476770,29
0,692,62,1.0,1.0,2,3,1,0,0,2,3,4.1,4.4,5.0,4.61,394491,124576,10381355,54
5,1518,145,1.0,1.0,4,2,1,0,0,2,3,3.7,3.5,4.1,3.83,457606,158402,17600240,54
0,1025,125,1.0,1.0,3,4,0,0,2,2,2,2.5,2.5,2.7,2.6,349916,142153,10934875,42
3,2170,121,3.0,2.0,5,2,1,1,2,0,4,3.7,4.6,4.0,4.09,593864,284560,12372160,23
2,969,70,1.0,1.0,3,2,1,0,1,1,3,3.4,2.4,4.0,3.18,337463,146234,11248750,31
3,1546,129,2.0,1.0,4,0,0,0,0,0,5,2.5,4.3,2.8,3.16,441475,142411,14241140,44
3,1709,6,2.0,1.0,4,0,1,1,2,2,4,4.3,3.7,2.0,3.2,467388,233694,10160600,36
5,1659,103,1.0,1.0,4,1,1,2,2,1,4,3.8,2.3,3.8,3.425,433251,216625,13539080,30
2,755,8,1.0,1.0,2,3,0,0,1,0,5,3.8,4.4,2.7,3.71,289649,42911,10727750,43
0,1182,50,1.0,1.0,3,3,1,1,0,1,4,3.2,3.5,3.1,3.21,374948,39468,9867055,35
0,735,67,1.0,1.0,2,1,0,0,2,1,3,2.7,4.0,4.0,3.61,284361,132702,9478710,27
2,1089,0,1.0,1.0,3,3,1,1,1,2,4,2.7,2.9,3.1,2.9,235305,45251,9050200,44
6,1534,6,2.0,1.0,4,4,1,2,1,2,1,4.7,4.6,2.3,3.94,284552,63234,7904210,73
1,1622,147,1.0,1.0,4,2,1,1,1,0,4,4.4,3.7,4.2,4.145,378840,209015,13063450,23
3,2198,71,3.0,2.0,5,4,1,2,2,0,5,4.8,4.2,3.9,4.26,679249,122265,13584980,38
2,1293,34,2.0,1.0,4,3,0,0,1,1,4,3.1,2.2,3.8,2.95,419714,157393,13116050,50
3,1641,178,2.0,1.0,4,4,0,2,0,0,4,4.6,4.4,3.1,3.94,460580,190239,10012600,45
6,1950,185,3.0,2.0,5,1,1,2,2,2,4,5.0,4.2,3.4,4.16,411601,84741,12105920,61
